"Plot Title: 20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
1,03/05/20 05:10:37 PM,23.00,0.0,0.0123
2,03/05/20 05:10:47 PM,23.02,0.0,0.0123
3,03/05/20 05:10:57 PM,23.06,0.0,0.0123
4,03/05/20 05:11:07 PM,23.07,0.0,0.0123
5,03/05/20 05:11:17 PM,23.07,0.0,0.0123
6,03/05/20 05:11:27 PM,23.73,52188.7,34.3508
7,03/05/20 05:11:37 PM,23.78,51395.6,33.7649
8,03/05/20 05:11:47 PM,23.76,51206.1,33.6251
9,03/05/20 05:11:57 PM,23.74,51101.3,33.5478
10,03/05/20 05:12:07 PM,23.74,51038.7,33.5016
11,03/05/20 05:12:17 PM,23.76,50976.7,33.4559
12,03/05/20 05:12:27 PM,23.78,50852.5,33.3645
13,03/05/20 05:12:37 PM,23.79,50857.9,33.3684
14,03/05/20 05:12:47 PM,23.82,50827.3,33.3459
15,03/05/20 05:12:57 PM,23.84,50739.7,33.2814
16,03/05/20 05:13:07 PM,23.85,50595.6,33.1754
17,03/05/20 05:13:17 PM,23.88,50575.5,33.1606
18,03/05/20 05:13:27 PM,23.89,50611.7,33.1871
19,03/05/20 05:13:37 PM,23.90,50570.7,33.1570
20,03/05/20 05:13:47 PM,23.92,50591.5,33.1723
21,03/05/20 05:13:57 PM,23.93,50540.3,33.1347
22,03/05/20 05:14:07 PM,23.93,50478.8,33.0894
23,03/05/20 05:14:17 PM,23.95,50515.0,33.1160
24,03/05/20 05:14:27 PM,23.95,50458.6,33.0746
25,03/05/20 05:14:37 PM,23.96,50484.3,33.0935
26,03/05/20 05:14:47 PM,23.96,50458.8,33.0747
27,03/05/20 05:14:57 PM,23.98,50428.3,33.0523
28,03/05/20 05:15:07 PM,23.98,50453.9,33.0711
29,03/05/20 05:15:17 PM,23.99,50408.0,33.0373
30,03/05/20 05:15:27 PM,23.99,50428.5,33.0524
31,03/05/20 05:15:37 PM,24.00,50331.5,32.9811
32,03/05/20 05:15:47 PM,24.00,50454.2,33.0713
33,03/05/20 05:15:57 PM,24.00,50449.1,33.0676
34,03/05/20 05:16:07 PM,24.00,50367.3,33.0074
35,03/05/20 05:16:17 PM,24.00,50341.7,32.9886
36,03/05/20 05:16:27 PM,24.00,50362.1,33.0036
37,03/05/20 05:16:37 PM,24.00,50392.8,33.0262
38,03/05/20 05:16:47 PM,24.00,50397.9,33.0299
39,03/05/20 05:16:57 PM,24.00,50300.9,32.9586
40,03/05/20 05:17:07 PM,24.00,50341.7,32.9886
41,03/05/20 05:17:17 PM,24.00,50326.3,32.9773
42,03/05/20 05:17:27 PM,24.00,50275.4,32.9398
43,03/05/20 05:17:37 PM,24.00,50351.9,32.9961
44,03/05/20 05:17:47 PM,24.00,50367.3,33.0074
45,03/05/20 05:17:57 PM,24.00,50377.4,33.0148
46,03/05/20 05:18:07 PM,24.00,50316.2,32.9698
47,03/05/20 05:18:17 PM,24.00,50362.1,33.0036
48,03/05/20 05:18:27 PM,24.00,50295.8,32.9548
49,03/05/20 05:18:37 PM,24.00,50295.8,32.9548
50,03/05/20 05:18:47 PM,24.00,50311.1,32.9661
51,03/05/20 05:18:57 PM,24.00,50341.7,32.9886
52,03/05/20 05:19:07 PM,23.98,50173.4,32.8649
53,03/05/20 05:19:17 PM,23.98,50305.6,32.9621
54,03/05/20 05:19:27 PM,23.98,50259.8,32.9284
55,03/05/20 05:19:37 PM,23.98,50428.3,33.0523
56,03/05/20 05:19:47 PM,23.98,50423.2,33.0485
57,03/05/20 05:19:57 PM,23.98,50423.2,33.0485
58,03/05/20 05:20:07 PM,23.98,50469.3,33.0824
59,03/05/20 05:20:17 PM,23.98,50443.6,33.0635
60,03/05/20 05:20:27 PM,23.98,50505.2,33.1088
61,03/05/20 05:20:37 PM,23.98,50515.5,33.1164
62,03/05/20 05:20:47 PM,23.98,50551.5,33.1429
63,03/05/20 05:20:57 PM,23.98,50525.7,33.1239
64,03/05/20 05:21:07 PM,23.98,50649.3,33.2148
65,03/05/20 05:21:17 PM,23.98,50546.4,33.1391
66,03/05/20 05:21:27 PM,23.98,50597.8,33.1769
67,03/05/20 05:21:37 PM,23.98,50623.5,33.1959
68,03/05/20 05:21:47 PM,23.98,50675.0,33.2338
69,03/05/20 05:21:57 PM,23.98,50633.8,33.2034
70,03/05/20 05:22:07 PM,23.96,50576.8,33.1615
71,03/05/20 05:22:17 PM,23.96,50576.8,33.1615
72,03/05/20 05:22:27 PM,23.96,50576.8,33.1615
73,03/05/20 05:22:37 PM,23.96,50628.3,33.1994
74,03/05/20 05:22:47 PM,23.96,50576.8,33.1615
75,03/05/20 05:22:57 PM,23.96,50669.5,33.2298
76,03/05/20 05:23:07 PM,23.96,50669.5,33.2298
77,03/05/20 05:23:17 PM,23.96,50576.8,33.1615
78,03/05/20 05:23:27 PM,23.96,50618.0,33.1918
79,03/05/20 05:23:37 PM,23.96,50628.3,33.1994
80,03/05/20 05:23:47 PM,23.95,50617.9,33.1917
81,03/05/20 05:23:57 PM,23.95,50679.7,33.2372
82,03/05/20 05:24:07 PM,23.95,50617.9,33.1917
83,03/05/20 05:24:17 PM,23.94,50705.3,33.2561
84,03/05/20 05:24:27 PM,23.94,50591.9,33.1726
85,03/05/20 05:24:37 PM,23.94,50638.3,33.2067
86,03/05/20 05:24:47 PM,23.94,50458.4,33.0744
87,03/05/20 05:24:57 PM,23.94,50402.2,33.0330
88,03/05/20 05:25:07 PM,23.94,50397.0,33.0293
89,03/05/20 05:25:17 PM,23.94,50305.1,32.9617
90,03/05/20 05:25:27 PM,23.94,50305.1,32.9617
91,03/05/20 05:25:37 PM,23.94,50330.6,32.9804
92,03/05/20 05:25:47 PM,23.94,50345.9,32.9917
93,03/05/20 05:25:57 PM,23.94,50417.5,33.0443
94,03/05/20 05:26:07 PM,23.93,50499.2,33.1044
95,03/05/20 05:26:17 PM,23.93,50519.8,33.1196
96,03/05/20 05:26:27 PM,23.93,50443.0,33.0630
97,03/05/20 05:26:37 PM,23.93,50483.9,33.0932
98,03/05/20 05:26:47 PM,23.93,50530.1,33.1271
99,03/05/20 05:26:57 PM,23.93,50545.5,33.1384
100,03/05/20 05:27:07 PM,23.93,50530.1,33.1271
101,03/05/20 05:27:17 PM,23.93,50530.1,33.1271
102,03/05/20 05:27:27 PM,23.93,50540.3,33.1347
103,03/05/20 05:27:37 PM,23.93,50591.7,33.1725
104,03/05/20 05:27:47 PM,23.93,50632.9,33.2028
105,03/05/20 05:27:57 PM,23.93,50617.5,33.1914
106,03/05/20 05:28:07 PM,23.93,50566.0,33.1536
107,03/05/20 05:28:17 PM,23.92,50591.5,33.1723
108,03/05/20 05:28:27 PM,23.92,50576.1,33.1610
109,03/05/20 05:28:37 PM,23.92,50627.6,33.1989
110,03/05/20 05:28:47 PM,23.92,50591.5,33.1723
111,03/05/20 05:28:57 PM,23.92,50540.2,33.1346
112,03/05/20 05:29:07 PM,23.90,50601.5,33.1797
113,03/05/20 05:29:17 PM,23.87,0.0,0.0123
114,03/05/20 05:29:27 PM,23.78,0.0,0.0123
115,03/05/20 05:29:37 PM,23.71,0.0,0.0123
116,03/05/20 05:29:47 PM,23.66,0.0,0.0123
117,03/05/20 05:29:57 PM,23.63,0.0,0.0123
118,03/05/20 05:30:07 PM,23.57,0.0,0.0123
119,03/05/20 05:30:17 PM,23.54,0.0,0.0123
120,03/05/20 05:30:27 PM,23.51,0.0,0.0123
121,03/05/20 05:30:37 PM,23.45,0.0,0.0123
122,03/05/20 05:30:47 PM,23.48,0.0,0.0123
123,03/05/20 05:30:57 PM,23.45,0.0,0.0123
124,03/05/20 05:31:07 PM,23.36,0.0,0.0123
125,03/05/20 05:31:17 PM,23.32,0.0,0.0123
126,03/05/20 05:31:27 PM,23.30,0.0,0.0123
127,03/05/20 05:31:37 PM,23.27,0.0,0.0123
128,03/05/20 05:31:47 PM,23.18,0.0,0.0123
129,03/05/20 05:31:57 PM,23.13,0.0,0.0123
130,03/05/20 05:32:07 PM,23.11,0.0,0.0123
131,03/05/20 05:32:17 PM,23.02,0.0,0.0123
132,03/05/20 05:32:27 PM,22.99,0.0,0.0123
133,03/05/20 05:32:37 PM,22.95,0.0,0.0123
134,03/05/20 05:32:47 PM,22.88,0.0,0.0123
135,03/05/20 05:32:57 PM,22.72,0.0,0.0123
136,03/05/20 05:33:07 PM,23.07,0.0,0.0123
137,03/05/20 05:33:17 PM,23.12,0.0,0.0123
138,03/05/20 05:33:27 PM,23.06,0.0,0.0123
139,03/05/20 05:33:37 PM,23.03,0.0,0.0123
140,03/05/20 05:33:47 PM,23.01,0.0,0.0123
141,03/05/20 05:33:57 PM,23.00,0.0,0.0123
